slug,section,index,interwencja,suggestedZone,confidence,alternatives,previousZone,finalZone
nieefektywne-oczyszczanie-drog-oddechowych,7.2,1,"Ocena stanu jamy ustnej i nosowej za pomocą latarki pod kątem zaczerwienienia, krwawienia, owrzodzeń, uszkodzeń, ilości wydzielanej śliny.",usta-drogi-oddechowe,low,skora:5,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,2,"Selektywna dekontaminacja jamy ustnej i gardła min. 2 × na dobę z zastosowaniem środków antyseptycznych zawierających, np. 0,12-0,2% glukonian chlorheksydyny (np. Colsodryl, Eludril) w postaci pasty, płynu z wykorzystaniem, np. jednorazowego zestawu gąbeczek (pacjent bez uzębienia) lub szczoteczko-gąbeczek (chory z uzębieniem) z możliwością odsysania wydzieliny przez 2 min ruchem wymiatającym lub obrotowym.",usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,3,W przypadku toalety z zastosowaniem jedynie środków antyseptycznych toaleta jamy ustnej.,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,4,"Ewakuacja wydzieliny z górnych dróg oddechowych (jama nosowa, ustna, gardłowa) za pomocą jednorazowych cewników CH 8, CH 10 co 2-4 godz.",miednica,high,,miednica,miednica
nieefektywne-oczyszczanie-drog-oddechowych,7.2,5,Zastosowanie blokera zgryzu w przypadku szczękościsku.,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,6,"Nawilżanie śluzówek jamy ustnej co 2-4 godz., np. Glandosane Spray.",usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,7,"Natłuszczanie okolicy nozdrzy co 8 godz., np. olejkiem parafinowym.",skora,medium,,skora,skora
nieefektywne-oczyszczanie-drog-oddechowych,7.2,8,"Pielęgnacja czerwieni wargowej, np. maścią Bepanthen.",skora,medium,,skora,skora
nieefektywne-oczyszczanie-drog-oddechowych,7.2,9,Prowadzenie indywidualnej karty obserwacji jamy ustnej z uwzględnieniem modelu BRUSHED wg Hayesa i Jonesa.,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,10,Natlenienie chorego 100% mieszaniną tlenu przez ok. 30 s przed przystąpieniem do procedury ewakuacji wydzieliny z dolnych dróg oddechowych i po wykonaniu czynności.,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,11,"Ocena stopnia zamknięcia powiek przed ewakuacją wydzieliny (zabezpieczenie powiek gazikami lub komorami pokrywkowymi polietylenowymi w przypadku niewystarczającego ich zamknięcia), nawilżanie oczu kroplami, maściami, prowadzenie protokołu obserwacji i pielęgnacji oczu.",oczy,low,skora:4,oczy,oczy
nieefektywne-oczyszczanie-drog-oddechowych,7.2,12,"Indywidualny dobór średnicy cewnika wg zasady, w której średnica zewnętrzna cewnika nie przekracza ½ wewnętrznej średnicy rurki.",miednica,high,,miednica,miednica
nieefektywne-oczyszczanie-drog-oddechowych,7.2,13,Preferowanie cewników z wieloma otworami bocznymi.,miednica,high,,miednica,miednica
nieefektywne-oczyszczanie-drog-oddechowych,7.2,14,Ewakuacja treści z dolnych dróg oddechowych co 2-4 godz. lub w razie potrzeby (systemem zamkniętym do odsysania lub w sposób tradycyjny z rozłączeniem obwodu oddechowego).,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,15,Przestrzeganie czasu 10 s przy jednorazowej procedurze ewakuacji wydzieliny.,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,16,Przestrzeganie czasu min. 20-30 s pomiędzy kolejnym odsysaniem.,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,17,Zastosowanie podciśnienia ssania odpowiadającemu wartości 100-150 mm Hg (135-203 cm H2O).,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,18,Ewakuacja wydzieliny z okolicy podgłośniowej przez dren rurki z taką możliwością (rurka dotchawicza z odsysaniem znad mankietu uszczelniającego).,usta-drogi-oddechowe,medium,konczyny-gorne:3,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,19,"Pomiar, ocena i dokumentowanie w karcie TISS ciśnienia w mankiecie uszczelniającym rurkę intubacyjną minimum 3 × na dobę (norma: 17-25 mm Hg/20-30 cm H2O).",usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,20,"Kontrola położenia rurki intubacyjnej poprzez obserwację położenia rurki w kąciku ust, obserwację ruchów klatki piersiowej, osłuchiwanie klatki piersiowej oraz monitorowanie SpO2, etCO2.",usta-drogi-oddechowe,high,,klatka-piersiowa,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,21,"Wymiana filtrów oddechowych (np. z elektrostatyczną lub mechaniczną membraną filtrującą najczęściej 1 raz na dobę), wymiana rur respiratora (najczęściej 1 raz na tydzień), zestawu zamkniętego do odsysania pacjenta (w zależności od rodzaju, np. 1 raz 72 g), a także w każdym przypadku uszkodzenia lub zabrudzenia; nie zaleca się rutynowej wymiany.",usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
nieefektywne-oczyszczanie-drog-oddechowych,7.2,22,"Kontrola umocowania rurki dotchawiczej, połączeń obwodu oddechowego, filtrów; w przypadku nagłego pogorszenia się stanu wentylowanego pacjenta identyfikacja przyczyn za pomocą protokołu DOPES (patrz: rozdział 7.1).",,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,23,"Pobieranie krwi do badań laboratoryjnych (np. morfologii krwi, CRP) i gazometrycznych.",konczyny-gorne,high,,skora,konczyny-gorne
nieefektywne-oczyszczanie-drog-oddechowych,7.2,24,"Udział w farmakoterapii (np. antybiotyki p.o., i.v., wziewnie).",,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,25,Udział w badaniach obrazowych (np. RTG płuc).,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,26,"Udział w pobieraniu materiału do badania mikrobiologicznego (np. popłuczyny pęcherzykowo-oskrzelowe, BAL).",,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,27,Udział we wczesnym uruchamianiu pacjenta.,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,28,Udział w codziennej ocenie głębokości sedacji chorego pod kątem gotowości do odzwyczajenia go od respiratora (weaning).,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,29,Prowadzenie protokołu odzwyczajenia pacjenta od respiratora (protocol-driven ventlator weaning).,,none,,,
nieefektywne-oczyszczanie-drog-oddechowych,7.2,30,"Udział w profilaktyce choroby wrzodowej, np. stosowanie sukralfatu.",,none,,,
zaburzenia-oddychania,7.3,0,"Pomiar parametrów życiowych (tętno, temperatura, saturacja, ciśnienie tętnicze krwi), ocena cyklu i toru oddychania, osłuchanie oraz opukanie chorego.",konczyny-gorne,high,,klatka-piersiowa,konczyny-gorne
zaburzenia-oddychania,7.3,1,Przygotowanie pacjenta do badania RTG klatki piersiowej.,klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-oddychania,7.3,2,Pobranie krwi do badań laboratoryjnych na zlecenie lekarza.,konczyny-gorne,high,,konczyny-gorne,konczyny-gorne
zaburzenia-oddychania,7.3,3,"Ocena punktowego ryzyka zgonu chorego, np. PSI (Pneumonia Severity Index), CRB-65, CURB-65 w celu ustalenia miejsca leczenia pacjenta (ambulatoryjne czy szpitalne).",,none,,,
zaburzenia-oddychania,7.3,4,Zebranie wywiadu w kierunku wcześniejszych reakcji uczuleniowych na antybiotyki.,,none,,skora,
zaburzenia-oddychania,7.3,5,W razie konieczności podanie tlenu na zlecenie lekarza.,,none,,,
zaburzenia-oddychania,7.3,6,"W przypadku wskazań do leczenia szpitalnego – przygotowanie chorego do hospitalizacji, umożliwienie kontaktu z rodziną lub osobami bliskimi.",,none,,,
zaburzenia-wymiany-gazowej,7.4,0,Uniesienie wezgłowia łóżka pod kątem 30-450 w przypadku wentylacji w pozycji na plecach oraz zmiana pozycji w łóżku co 2-4 godz.,plecy,high,,plecy,plecy
zaburzenia-wymiany-gazowej,7.4,1,"Monitorowanie, ocena i dokumentowanie parametrów wentylacji: stężenia tlenu w mieszaninie oddechowej (FiO2), liczby oddechów (fot), w tym oddechów spontanicznych (fspont), objętości oddechowej (TV), dodatniego ciśnienia w drogach oddechowych (PEEP), wdechowego ciśnienia szczytowego (Ppeak).",usta-drogi-oddechowe,medium,klatka-piersiowa:3,usta-drogi-oddechowe,usta-drogi-oddechowe
zaburzenia-wymiany-gazowej,7.4,2,"Obserwacja i monitorowanie: parametrów życiowych, SpO2, etCO2, liczby i charakteru oddechów, CTK, tętna, EKG, gazometrii krwi tętniczej i żylnej.",klatka-piersiowa,high,konczyny-gorne:3,klatka-piersiowa,klatka-piersiowa
zaburzenia-wymiany-gazowej,7.4,3,"Ocena lokalizacji rurki intubacyjnej w celu wykrycia cech ewentualnej destabilizacji, przemieszczenia i niedrożności końcówki rurki poprzez: kontrolę położenia w kąciku ust, obserwację symetrii ruchów klatki piersiowej, osłuchiwanie szmerów oddechowych w szczytach i podstawach płuc, analizę pomiaru kapnometrii i krzywej kapnograficznej.",usta-drogi-oddechowe,high,,klatka-piersiowa,usta-drogi-oddechowe
zaburzenia-wymiany-gazowej,7.4,4,W sytuacji trudności w wentylacji identyfikacja przyczyny na podstawie protokołu DOPES (patrz: rozdział 7.1).,,none,,,
zaburzenia-wymiany-gazowej,7.4,5,Stosowanie zamkniętego systemu do odsysania dróg oddechowych.,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
zaburzenia-wymiany-gazowej,7.4,6,"Udział w fizjoterapii oddechowej poprzez ułożenie ciała w pozycji pronacyjnej („prone positon”, na brzuchu) oraz kontrola parametrów życiowych i wentylacji we wskazanej pozycji.",brzuch,high,klatka-piersiowa:3,brzuch,brzuch
zaburzenia-wymiany-gazowej,7.4,7,Kontrola ciśnienia w mankiecie uszczelniającym rurkę intubacyjną 3 × dziennie z zastosowaniem manometru oraz utrzymywanie ciśnienia w granicach 17-25 mm Hg (20-35 cm H2O).,usta-drogi-oddechowe,high,,usta-drogi-oddechowe,usta-drogi-oddechowe
zaburzenia-wymiany-gazowej,7.4,8,"Toaleta dolnych dróg oddechowych co 2-4 godz. zgodnie z przyjętą procedurą oraz dokumentowanie cech odessanej wydzieliny (ilości, jakości, zapachu).",,none,,,
zaburzenia-wymiany-gazowej,7.4,9,"Pobieranie krwi do badania gazometrycznego z dostępu dotętniczego zgodnie ze zleceniem lekarskim, wykonanie pomiaru, analiza oraz udokumentowanie wyniku.",konczyny-gorne,high,,skora,konczyny-gorne
zaburzenia-wymiany-gazowej,7.4,10,"Udział w pobieraniu materiału do badań mikrobiologicznych (np. popłuczyn pęcherzykowo-oskrzelowych, BAL, posiewów z krwi, moczu).",miednica,medium,,miednica,miednica
zaburzenia-wymiany-gazowej,7.4,11,"Stosowanie diet przemysłowych i/lub żywienia pozajelitowego zapobiegających przekarmieniu i niedożywieniu z wykorzystaniem pomiaru wydatku energetycznego (energy expenditure, EE).",brzuch,high,,brzuch,brzuch
zaburzenia-wymiany-gazowej,7.4,12,"Udział w badaniach obrazowych klatki piersiowej, np. rentgen, tomografia komputerowa, badanie ultrasonograficzne.",klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-wymiany-gazowej,7.4,13,"Udział w farmakoterapii na zlecenie lekarskie, np. antybiotykoterapia, leki rozszerzające oskrzela, glikokortykosteroidy.",,none,,,
zmniejszona-pojemnosc-minutowa-serca,8.1,0,"Ocena nasilenia objawów klinicznych (chromania przestankowego, zabarwienia i ucieplenia skóry, ewentualnych zmian na skórze), badanie tętna w spoczynku i po marszu, ocena ogólnego stanu chorego oraz chorób współistniejących (na podstawie analizy dokumentacji medycznej), wykonanie pomiaru i interpretacja wskaźnika kostka-ramię (ABI).",skora,low,cale-cialo:4 konczyny-gorne:3,skora,skora
zmniejszona-pojemnosc-minutowa-serca,8.1,1,"Edukacja pacjenta: • działania wpływające na poprawę przepływu tkankowego w kończynach: – utrzymywanie kończyn poniżej poziomu serca, unikanie krzyżowania kończyn dolnych, – dostosowanie wysiłku fizycznego do tolerancji na niedokrwienie (niedopuszczanie do wystąpienia bólu niedokrwiennego) spacery, ćwiczenia czynne kończyn z uniesieniem ku górze (w przypadku zblednięcia, cierpnięcia lub bólu - opuszczenie kończyny w dół w pozycji siedzącej lub stojącej, czekanie do momentu wystąpienia pełnego ukrwienia stóp, kilkakrotne powtarzanie ćwiczenia w ciągu dnia); regularne, codzienne 30-60-minutowe marsze przy dobrej tolerancji tego rodzaju wysiłku, jazda na rowerze, – unikanie zimna - ciepłe skarpety bawełniane lub wełniane, ochrona przed wilgocią, ciepłe napoje w sytuacji narażenia na działanie niskich temperatur, ubiór dostosowany do pory roku i temperatury otoczenia, – unikanie intensywnego ogrzewania kończyn (np. termoforem, kocem elektrycznym), – unikanie ucisku na stopę (nieuciskające obuwie, skarpety); • pielęgnacja skóry - używanie łagodnych środków do pielęgnacji skóry o pH 5,5, staranne osuszanie, systematyczne nawilżanie i natłuszczanie (np. lanoliną), profilaktyka i leczenie zakażeń grzybiczych; • ochrona przed urazami - wygodne obuwie, delikatny pedikiur, bez rozmiękczania naskórka; • motywowanie chorego do zaprzestania palenia tytoniu, indywidualny dobór sposobów ułatwiających porzucenie nałogu palenia, poinformowanie o konieczności unikania palenia biernego; • modyfikacja współistniejących czynników ryzyka - redukcja nadwagi (dieta ubogo- energetyczna, indywidualny dobór aktywności fizycznej), kontrola cukrzycy, nadciśnienia tętniczego (systematyczne przyjmowanie przepisanych leków, dieta przeciwcukrzycowa, z ograniczeniem soli, nauka samoobserwacji - samodzielne pomiary ciśnienia tętniczego, glikemii); • współpraca z lekarzem w zakresie farmakoterapii, wyjaśnienie działania leków i nauka samoobserwacji.",konczyny-gorne,high,,konczyny-dolne,konczyny-gorne
zaburzenia-krazenia-mozgowego,8.3,0,Umieszczenie pacjenta na sali intensywnego nadzoru i uzasadnienie takiego działania.,,none,,,
zaburzenia-krazenia-mozgowego,8.3,1,Założenie dwóch żylnych dostępów naczyniowego zgodnie z zasadami aseptyki i antyseptyki.,,none,,,
zaburzenia-krazenia-mozgowego,8.3,2,Założenie cewnika do pęcherza moczowego zgodnie z zasadami aseptyki i antyseptyki.,miednica,high,,miednica,miednica
zaburzenia-krazenia-mozgowego,8.3,3,Wykonanie 12-odprowadzeniowego EKG.,klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-krazenia-mozgowego,8.3,4,"Pobranie krwi żylnej w celu wykonania badań zgodnie ze zleceniem lekarskim, takich jak: morfologia, INR, APTT, czas protrombinowy, stężenie elektrolitów i glukozy w surowicy, CRP, biochemiczne wskaźniki czynności nerek i wątroby, markery uszkodzenia mięśnia sercowego.",konczyny-gorne,high,,konczyny-gorne,konczyny-gorne
zaburzenia-krazenia-mozgowego,8.3,5,"Monitorowanie/badanie: • układu krążenia: ciśnienie tętnicze krwi, tętno, • układu oddechowego: częstotliwość oddechów, saturacja, • temperatury ciała, • stanu świadomości - orientacja autoi allopsychiczna, spełnianie poleceń, • stanu przytomności - skala Glasgow (w razie pogarszania się kontaktu z pacjentem), • symetrii źrenic Dokumentowanie wyników pomiarów w karcie obserwacyjnej co 4 godziny.",cale-cialo,low,oczy:5 cale-cialo:4 klatka-piersiowa:3,oczy,cale-cialo
zaburzenia-krazenia-mozgowego,8.3,6,Pomiar ciśnienia tętniczego krwi przed każdym podaniem leku hipotensyjnego.,konczyny-gorne,high,,konczyny-gorne,konczyny-gorne
zaburzenia-krazenia-mozgowego,8.3,7,Pomiar i dokumentowanie poziomu glukozy we krwi - prowadzenie profilu glikemii.,,none,,,
zaburzenia-krazenia-mozgowego,8.3,8,"Asystowanie podczas podawania leku trombolitycznego: • bieżący pomiar i dokumentowanie parametrów życiowych, • obserwacja samopoczucia pacjenta, zabarwienia skóry, • obserwacja stanu świadomości pacjenta oraz pod kątem narastania deficytu neurologicznego, • ocena prawidłowości działania pompy infuzyjnej strzykawkowej.",skora,medium,,skora,skora
zaburzenia-krazenia-mozgowego,8.3,9,"Ocena zaburzeń połykania i dostosowanie sposobu żywienia, nawadniania oraz podawania leków do stanu pacjenta (patrz: rozdział 9.4).",usta-drogi-oddechowe,medium,,usta-drogi-oddechowe,usta-drogi-oddechowe
zakrzepica-zylna-ryzyko-wystapienia,8.4,0,Ocena aktualnej sytuacji chorobowej pacjenta w kierunku występowania czynników ryzyka ZŻG - analiza dokumentacji medycznej w zakresie dotychczasowego leczenia oraz chorób współistniejących.,,none,,,
zakrzepica-zylna-ryzyko-wystapienia,8.4,1,"Ocena występowania objawów klinicznych ZŻG: • współudział w monitorowaniu występowania objawów obiektywnych poprzez: – pomiar ciśnienia tętniczego krwi i tętna, temperatury ciała, – obserwację wyglądu skóry kończyny dolnej (zwiększone ucieplenie, obrzęk, nieprawidłowe zabarwienie: sinica, martwica), – pomiar obwodu kończyny chorej i zdrowej na tym samym poziomie, – badanie palpacyjne w celu oceny nadmiernie wypełnionych żył powierzchownych i ewentualnego wyczucia skrzepliny [Kózka, 2020; Szewczyk, Jawień, 2010; Windyga i wsp., 2014], • współudział w badaniach oraz wyjaśnienie pacjentowi postępowania diagnostycznego: – dokonanie oceny prawdopodobieństwa wystąpienia ZŻG na podstawie skali Wellsa oraz ustalenie wskazań do rozszerzonej diagnostyki, – przeprowadzenie kolejnych badań zgodnie ze zleceniem lekarza (np. USG naczyń żylnych oraz pobranie krwi do badań, np. D-dimery, grupa krwi, morfologia, APTT, INR, ewentualnie flebografia, venografia TK lub RM) [Kózka, 2020; Konstantnides i wsp., 2014; Tomkowski i wsp., 2017; Szewczyk, Jawień, 2010; Windyga i wsp., 2014].",cale-cialo,low,konczyny-gorne:8 konczyny-dolne:5 skora:4,skora,cale-cialo
zakrzepica-zylna-ryzyko-wystapienia,8.4,2,"Współudział w działaniach leczniczo--pielęgnacyjnych adekwatnych do rozpoznanych czynników ryzyka oraz prawdopodobieństwa wystąpienia zakrzepicy żylnej (zgodnie ze zleceniem lekarza): • zastosowanie kompresjoterapii II stopnia ucisku (25-35 mm Hg) na kończynie objętej procesem chorobowym przy użyciu gotowych wyrobów uciskowych lub ewentualnie opasek elastycznych, • poinformowanie pacjenta o konieczności wykonania pomiarów kończyny celem dopasowania do zalecanego stopnia ucisku, • nauczenie pacjenta stosowania kompresjoterapii z wykorzystaniem opaski elastycznej: – opatrunek powinien obejmować kończynę od podstawy palców do guzowatości piszczeli i dawać ucisk zmniejszający się w kierunku od kostki do kolana (jeśli ucisk w okolicy stawu skokowego wynosi 100%, to w kierunku proksymalnym, czyli w pobliżu pachwiny powinien wynosić 40%), – poinformowanie pacjenta o objawach zbyt dużego ucisku (jak: uczucie mrowienia, drętwienia stopy, bladość, sinica palców w czasie chodzenia); w przypadku ich wystąpienia poinformowanie o konieczności usunięcia bandaża i ponownego zabandażowania z efektem mniejszego ucisku, • nauczenie pacjenta zakładania gotowych wyrobów uciskowych (np. pończoch, rajstop: rolowanie wyrobu, a następnie naciąganie na kończynę, tzw. podciąganie w kierunku proksymalnym poprzez wygładzanie całą dłonią z użyciem gumowych rękawic), • zalecenie zakładania wyrobów uciskowych w godzinach rannych przed wstaniem z łóżka przed wystąpieniem zwiększonego obrzęku w ciągu dnia, • motywowanie pacjenta do noszenia wyrobów uciskowych poprzez wskazywanie korzyści leczenia dla poprawy stanu naczyń kończyn dolnych [Kózka, 2020; Szewczyk, Jawień, 2010; Windyga i wsp., 2014; Zawilska, 2016], • zastosowanie przerywanego masażu pneumatycznego przy użyciu specjalnego kompresora oraz mankietów pneumatycznych zakładanych na kończyny dolne [Kózka, Rożnowska, 2009; Szewczyk, Jawień, 2010; Kózka, 2020; Tomkowski i wsp., 2017], • zastosowanie leczenia farmakologicznego: – wyjaśnienie konieczności i zasad przyjmowania zleconych leków flebotropowych, przeciwzakrzepowych, – motywowanie pacjenta do systematycznego zażywania leków, wyjaśnienie mechanizmu ich działania [Kózka, 2020; Windyga i wsp., 2014; Zawilska, 2016], • zastosowanie preparatów działających miejscowo w postaci żelowej lub aerozolu, np. Venożel, Lioton 1000 [Kózka, Rożnowska, 2009; Kózka, 2020], • w przypadku nasilonych objawów i zwiększonego ryzyka wystąpienia zakrzepicy żylnej współudział w modyfikacji leczenia poprzez zastosowanie doustnych antykoagulantów oraz edukacja pacjenta: – zwrócenie uwagi na inne przyjmowane leki, które mogą nasilać lub hamować działanie przeciwzakrzepowe (np. niektóre leki przeciwbólowe, przeciwzapalne) oraz przyjmowane pokarmy (hamująco na doustne antykoagulanty wpływają duże ilości witaminy K w pożywieniu) oraz stopień wysiłku fizycznego [Szewczyk, Jawień, 2010], – obserwacja objawów powikłań antykoagulantów doustnych w zakresie zwiększonej skłonności do krwawień i zgłoszenie się do lekarza w przypadku ich wystąpienia celem dokonania oznaczenia INR oraz poinformowania o dodatkowo przyjmowanych lekach i chorobach współistniejących, – wskazanie pacjentowi potrzeby informowania pracowników medycznych, m.in. lekarzy, dentystów o przyjmowaniu leków przeciwkrzepliwych [Szewczyk, Jawień, 2010].",konczyny-gorne,high,,konczyny-dolne,konczyny-gorne
